date,key,value
1998-01-01,21056643,1
1998-02-01,21056643,0
1998-03-01,21056643,0
1998-04-01,21056643,0
1998-05-01,21056643,0
1998-06-01,21056643,1
1998-07-01,21056643,0
1998-08-01,21056643,0
1998-09-01,21056643,0
1998-10-01,21056643,0
1998-11-01,21056643,0
1998-12-01,21056643,0
1999-01-01,21056643,1
1999-02-01,21056643,0
1999-03-01,21056643,1
1999-04-01,21056643,1
1999-05-01,21056643,0
1999-06-01,21056643,0
1999-07-01,21056643,0
1999-08-01,21056643,0
1999-09-01,21056643,1
1999-10-01,21056643,0
1999-11-01,21056643,0
1999-12-01,21056643,0
2000-01-01,21056643,0
2000-02-01,21056643,0
2000-03-01,21056643,0
2000-04-01,21056643,0
2000-05-01,21056643,0
2000-06-01,21056643,0
2000-07-01,21056643,0
2000-08-01,21056643,0
2000-09-01,21056643,0
2000-10-01,21056643,1
2000-11-01,21056643,0
2000-12-01,21056643,0
2001-01-01,21056643,0
2001-02-01,21056643,0
2001-03-01,21056643,1
2001-04-01,21056643,0
2001-05-01,21056643,0
2001-06-01,21056643,0
2001-07-01,21056643,0
2001-08-01,21056643,0
2001-09-01,21056643,0
2001-10-01,21056643,0
2001-11-01,21056643,0
2001-12-01,21056643,0
2002-01-01,21056643,0
2002-02-01,21056643,1
2002-03-01,21056643,1
1998-01-01,21012606,2
1998-02-01,21012606,0
1998-03-01,21012606,0
1998-04-01,21012606,0
1998-05-01,21012606,0
1998-06-01,21012606,0
1998-07-01,21012606,0
1998-08-01,21012606,0
1998-09-01,21012606,0
1998-10-01,21012606,0
1998-11-01,21012606,0
1998-12-01,21012606,0
1999-01-01,21012606,0
1999-02-01,21012606,0
1999-03-01,21012606,0
1999-04-01,21012606,0
1999-05-01,21012606,0
1999-06-01,21012606,0
1999-07-01,21012606,0
1999-08-01,21012606,0
1999-09-01,21012606,0
1999-10-01,21012606,0
1999-11-01,21012606,0
1999-12-01,21012606,1
2000-01-01,21012606,0
2000-02-01,21012606,0
2000-03-01,21012606,0
2000-04-01,21012606,0
2000-05-01,21012606,0
2000-06-01,21012606,0
2000-07-01,21012606,0
2000-08-01,21012606,0
2000-09-01,21012606,0
2000-10-01,21012606,0
2000-11-01,21012606,0
2000-12-01,21012606,1
2001-01-01,21012606,0
2001-02-01,21012606,0
2001-03-01,21012606,1
2001-04-01,21012606,1
2001-05-01,21012606,0
2001-06-01,21012606,0
2001-07-01,21012606,0
2001-08-01,21012606,1
2001-09-01,21012606,0
2001-10-01,21012606,1
2001-11-01,21012606,1
2001-12-01,21012606,1
2002-01-01,21012606,1
2002-02-01,21012606,0
2002-03-01,21012606,0
1998-01-01,21021840,0
1998-02-01,21021840,0
1998-03-01,21021840,0
1998-04-01,21021840,0
1998-05-01,21021840,0
1998-06-01,21021840,0
1998-07-01,21021840,0
1998-08-01,21021840,0
1998-09-01,21021840,0
1998-10-01,21021840,0
1998-11-01,21021840,1
1998-12-01,21021840,0
1999-01-01,21021840,0
1999-02-01,21021840,0
1999-03-01,21021840,0
1999-04-01,21021840,0
1999-05-01,21021840,2
1999-06-01,21021840,0
1999-07-01,21021840,1
1999-08-01,21021840,1
1999-09-01,21021840,0
1999-10-01,21021840,1
1999-11-01,21021840,0
1999-12-01,21021840,0
2000-01-01,21021840,0
2000-02-01,21021840,0
2000-03-01,21021840,1
2000-04-01,21021840,1
2000-05-01,21021840,0
2000-06-01,21021840,0
2000-07-01,21021840,1
2000-08-01,21021840,0
2000-09-01,21021840,0
2000-10-01,21021840,0
2000-11-01,21021840,0
2000-12-01,21021840,0
2001-01-01,21021840,0
2001-02-01,21021840,0
2001-03-01,21021840,1
2001-04-01,21021840,0
2001-05-01,21021840,0
2001-06-01,21021840,0
2001-07-01,21021840,0
2001-08-01,21021840,0
2001-09-01,21021840,0
2001-10-01,21021840,0
2001-11-01,21021840,0
2001-12-01,21021840,0
2002-01-01,21021840,0
2002-02-01,21021840,0
2002-03-01,21021840,1
1998-01-01,21048588,0
1998-02-01,21048588,0
1998-03-01,21048588,0
1998-04-01,21048588,0
1998-05-01,21048588,1
1998-06-01,21048588,0
1998-07-01,21048588,0
1998-08-01,21048588,0
1998-09-01,21048588,0
1998-10-01,21048588,0
1998-11-01,21048588,1
1998-12-01,21048588,1
1999-01-01,21048588,0
1999-02-01,21048588,0
1999-03-01,21048588,1
1999-04-01,21048588,1
1999-05-01,21048588,1
1999-06-01,21048588,0
1999-07-01,21048588,0
1999-08-01,21048588,0
1999-09-01,21048588,0
1999-10-01,21048588,0
1999-11-01,21048588,0
1999-12-01,21048588,0
2000-01-01,21048588,0
2000-02-01,21048588,1
2000-03-01,21048588,0
2000-04-01,21048588,0
2000-05-01,21048588,0
2000-06-01,21048588,1
2000-07-01,21048588,0
2000-08-01,21048588,0
2000-09-01,21048588,0
2000-10-01,21048588,0
2000-11-01,21048588,1
2000-12-01,21048588,0
2001-01-01,21048588,0
2001-02-01,21048588,0
2001-03-01,21048588,0
2001-04-01,21048588,0
2001-05-01,21048588,0
2001-06-01,21048588,0
2001-07-01,21048588,1
2001-08-01,21048588,0
2001-09-01,21048588,0
2001-10-01,21048588,0
2001-11-01,21048588,1
2001-12-01,21048588,0
2002-01-01,21048588,0
2002-02-01,21048588,0
2002-03-01,21048588,0
1998-01-01,21049118,0
1998-02-01,21049118,0
